longitude,latitude,jour,intensite
3.868467,43.613884,Jeudi,1805.8867924528302
3.868467,43.613884,Vendredi,1595.3653846153845
3.868467,43.613884,Samedi,930.5576923076923
3.868467,43.613884,Dimanche,554.9444444444445
3.87009,43.61464,Lundi,872.5777777777778
3.87009,43.61464,Mardi,986.3260869565217
3.87009,43.61464,Mercredi,1016.8
3.87009,43.61464,Jeudi,1000.1063829787234
3.87009,43.61464,Vendredi,894.0222222222222
3.87009,43.61464,Samedi,557.0
3.87009,43.61464,Dimanche,424.45652173913044
3.874408,43.616209,Lundi,1468.2083333333333
3.874408,43.616209,Mardi,1669.7142857142858
3.874408,43.616209,Mercredi,1683.9791666666667
3.874408,43.616209,Jeudi,1554.142857142857
3.874408,43.616209,Vendredi,1363.9375
3.874408,43.616209,Samedi,873.7708333333334
3.874408,43.616209,Dimanche,687.8541666666666
3.8776,43.6001,Lundi,403.6095238095238
3.8776,43.6001,Mardi,450.1698113207547
3.8776,43.6001,Mercredi,434.87735849056605
3.8776,43.6001,Jeudi,435.037037037037
3.8776,43.6001,Vendredi,377.60377358490564
3.8776,43.6001,Samedi,243.92380952380952
3.8776,43.6001,Dimanche,181.75229357798165
3.8847,43.614,Lundi,1965.1568627450981
3.8847,43.614,Mardi,2184.519230769231
3.8847,43.614,Mercredi,2073.019230769231
3.8847,43.614,Jeudi,2106.245283018868
3.8847,43.614,Vendredi,1773.3076923076924
3.8847,43.614,Samedi,1069.6153846153845
3.8847,43.614,Dimanche,967.7169811320755
3.887153,43.539352,Lundi,304.09090909090907
3.887153,43.539352,Mardi,316.15555555555557
3.887153,43.539352,Mercredi,289.6666666666667
3.887153,43.539352,Jeudi,296.3541666666667
3.887153,43.539352,Vendredi,253.04255319148936
3.887153,43.539352,Samedi,308.1333333333333
3.887153,43.539352,Dimanche,401.6222222222222
3.8899,43.6115,Lundi,772.1923076923077
3.8899,43.6115,Mardi,909.6730769230769
3.8899,43.6115,Mercredi,886.2692307692307
3.8899,43.6115,Jeudi,902.8867924528302
3.8899,43.6115,Vendredi,762.6346153846154
3.8899,43.6115,Samedi,410.96153846153845
3.8899,43.6115,Dimanche,379.3888888888889
3.89379,43.62959,Lundi,94.76315789473684
3.89379,43.62959,Mardi,89.76923076923077
3.89379,43.62959,Mercredi,86.58974358974359
3.89379,43.62959,Jeudi,92.6842105263158
3.89379,43.62959,Vendredi,78.02631578947368
3.89379,43.62959,Samedi,87.42105263157895
3.89379,43.62959,Dimanche,112.825
3.895629,43.626698,Lundi,502.94117647058823
3.895629,43.626698,Mardi,586.6078431372549
3.895629,43.626698,Mercredi,557.5392156862745
3.895629,43.626698,Jeudi,567.8
3.895629,43.626698,Vendredi,495.45098039215685
3.895629,43.626698,Samedi,331.421568627451
3.895629,43.626698,Dimanche,266.2358490566038
3.89694,43.609699,Lundi,1486.5192307692307
3.89694,43.609699,Mardi,1663.2884615384614
3.89694,43.609699,Mercredi,1635.0576923076924
3.89694,43.609699,Jeudi,1645.0
3.89694,43.609699,Vendredi,1385.450980392157
3.89694,43.609699,Samedi,945.0961538461538
3.89694,43.609699,Dimanche,1004.5094339622641
3.8981,43.614,Lundi,403.23809523809524
3.8981,43.614,Mardi,449.08490566037733
3.8981,43.614,Mercredi,419.5660377358491
3.8981,43.614,Jeudi,430.3240740740741
3.8981,43.614,Vendredi,366.85849056603774
3.8981,43.614,Samedi,255.62857142857143
3.8981,43.614,Dimanche,239.21100917431193
3.89867,43.59888,Lundi,1883.301886792453
3.89867,43.59888,Mardi,1991.2222222222222
3.89867,43.59888,Mercredi,1920.611111111111
3.89867,43.59888,Jeudi,1901.2363636363636
3.89867,43.59888,Vendredi,1657.8703703703704
3.89867,43.59888,Samedi,1662.1698113207547
3.89867,43.59888,Dimanche,1930.1454545454546
3.907998,43.584349,Lundi,1010.9761904761905
3.907998,43.584349,Mardi,983.75
3.907998,43.584349,Mercredi,991.75
3.907998,43.584349,Jeudi,915.1111111111111
