"intensity","laneId","dateObserved","location__coordinates","location__type","id","type","vehicleType","reversedLane"
"943","437445704","2024-11-13T00:00:00/2024-11-14T00:00:00","3.8683","Point","MMM_EcoCompt_X2H21111120_202411130000","TrafficFlowObserved","bicycle","False"
"","","","43.6167","","","","",""
