"intensity","laneId","dateObserved","location__coordinates","location__type","id","type","vehicleType","reversedLane"
"987","155831324","2024-11-13T00:00:00/2024-11-14T00:00:00","3.8899","Point","MMM_EcoCompt_X2H22104768_202411130000","TrafficFlowObserved","bicycle","False"
"","","","43.6115","","","","",""
