"intensity","laneId","dateObserved","location__coordinates","location__type","id","type","vehicleType","reversedLane"
"803","121403595","2024-11-13T00:00:00/2024-11-14T00:00:00","3.89858885","Point","MMM_EcoCompt_ED223110496_202411130000","TrafficFlowObserved","bicycle","False"
"","","","43.60978325","","","","",""
