"intensity","laneId","dateObserved","location__coordinates","location__type","id","type","vehicleType","reversedLane"
"152","60703959","2024-11-13T00:00:00/2024-11-14T00:00:00","3.9297263","Point","MMM_EcoCompt_X2H22043032_202411130000","TrafficFlowObserved","bicycle","False"
"","","","43.6375079","","","","",""
