intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
110;1085031414;2023-01-01;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301010000;TrafficFlowObserved;bicycle;False
46;1085031414;2023-01-02;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301020000;TrafficFlowObserved;bicycle;False
24;1085031414;2023-01-03;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301030000;TrafficFlowObserved;bicycle;False
217;1085031414;2023-01-04;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301040000;TrafficFlowObserved;bicycle;False
209;1085031414;2023-01-05;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301050000;TrafficFlowObserved;bicycle;False
167;1085031414;2023-01-06;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301060000;TrafficFlowObserved;bicycle;False
161;1085031414;2023-01-07;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301070000;TrafficFlowObserved;bicycle;False
284;1085031414;2023-01-08;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301080000;TrafficFlowObserved;bicycle;False
55;1085031414;2023-01-09;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301090000;TrafficFlowObserved;bicycle;False
153;1085031414;2023-01-10;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301100000;TrafficFlowObserved;bicycle;False
111;1085031414;2023-01-11;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301110000;TrafficFlowObserved;bicycle;False
182;1085031414;2023-01-12;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301120000;TrafficFlowObserved;bicycle;False
77;1085031414;2023-01-13;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301130000;TrafficFlowObserved;bicycle;False
214;1085031414;2023-01-14;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301140000;TrafficFlowObserved;bicycle;False
215;1085031414;2023-01-15;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301150000;TrafficFlowObserved;bicycle;False
52;1085031414;2023-01-16;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301160000;TrafficFlowObserved;bicycle;False
68;1085031414;2023-01-17;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301170000;TrafficFlowObserved;bicycle;False
51;1085031414;2023-01-18;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301180000;TrafficFlowObserved;bicycle;False
63;1085031414;2023-01-19;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301190000;TrafficFlowObserved;bicycle;False
55;1085031414;2023-01-20;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301200000;TrafficFlowObserved;bicycle;False
65;1085031414;2023-01-21;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301210000;TrafficFlowObserved;bicycle;False
123;1085031414;2023-01-22;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301220000;TrafficFlowObserved;bicycle;False
43;1085031414;2023-01-23;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301230000;TrafficFlowObserved;bicycle;False
104;1085031414;2023-01-24;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301240000;TrafficFlowObserved;bicycle;False
62;1085031414;2023-01-25;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301250000;TrafficFlowObserved;bicycle;False
88;1085031414;2023-01-26;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301260000;TrafficFlowObserved;bicycle;False
46;1085031414;2023-01-27;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301270000;TrafficFlowObserved;bicycle;False
79;1085031414;2023-01-28;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301280000;TrafficFlowObserved;bicycle;False
147;1085031414;2023-01-29;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301290000;TrafficFlowObserved;bicycle;False
41;1085031414;2023-01-30;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301300000;TrafficFlowObserved;bicycle;False
135;1085031414;2023-01-31;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202301310000;TrafficFlowObserved;bicycle;False
62;1085031414;2023-02-01;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302010000;TrafficFlowObserved;bicycle;False
161;1085031414;2023-02-02;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302020000;TrafficFlowObserved;bicycle;False
172;1085031414;2023-02-03;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302030000;TrafficFlowObserved;bicycle;False
140;1085031414;2023-02-04;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302040000;TrafficFlowObserved;bicycle;False
352;1085031414;2023-02-05;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302050000;TrafficFlowObserved;bicycle;False
3;1085031414;2023-02-05;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302050000;TrafficFlowObserved;bicycle;False
101;1085031414;2023-02-06;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302060000;TrafficFlowObserved;bicycle;False
22;1085031414;2023-02-07;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302070000;TrafficFlowObserved;bicycle;False
103;1085031414;2023-02-08;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302080000;TrafficFlowObserved;bicycle;False
173;1085031414;2023-02-09;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302090000;TrafficFlowObserved;bicycle;False
122;1085031414;2023-02-10;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302100000;TrafficFlowObserved;bicycle;False
209;1085031414;2023-02-11;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302110000;TrafficFlowObserved;bicycle;False
271;1085031414;2023-02-12;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302120000;TrafficFlowObserved;bicycle;False
140;1085031414;2023-02-13;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302130000;TrafficFlowObserved;bicycle;False
146;1085031414;2023-02-14;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302140000;TrafficFlowObserved;bicycle;False
111;1085031414;2023-02-15;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302150000;TrafficFlowObserved;bicycle;False
182;1085031414;2023-02-16;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302160000;TrafficFlowObserved;bicycle;False
156;1085031414;2023-02-17;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302170000;TrafficFlowObserved;bicycle;False
273;1085031414;2023-02-18;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302180000;TrafficFlowObserved;bicycle;False
378;1085031414;2023-02-19;3.698800;43.538000;MMM_EcoCompt_X2H22104765_202302190000;TrafficFlowObserved;bicycle;False
