intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
40;105575465;2023-01-01;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301010000;TrafficFlowObserved;bicycle;False
51;105575465;2023-01-02;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301020000;TrafficFlowObserved;bicycle;False
86;105575465;2023-01-03;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301030000;TrafficFlowObserved;bicycle;False
86;105575465;2023-01-04;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301040000;TrafficFlowObserved;bicycle;False
91;105575465;2023-01-05;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301050000;TrafficFlowObserved;bicycle;False
83;105575465;2023-01-06;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301060000;TrafficFlowObserved;bicycle;False
87;105575465;2023-01-07;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301070000;TrafficFlowObserved;bicycle;False
49;105575465;2023-01-08;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301080000;TrafficFlowObserved;bicycle;False
92;105575465;2023-01-09;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301090000;TrafficFlowObserved;bicycle;False
110;105575465;2023-01-10;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301100000;TrafficFlowObserved;bicycle;False
108;105575465;2023-01-11;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301110000;TrafficFlowObserved;bicycle;False
123;105575465;2023-01-12;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301120000;TrafficFlowObserved;bicycle;False
101;105575465;2023-01-13;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301130000;TrafficFlowObserved;bicycle;False
69;105575465;2023-01-14;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301140000;TrafficFlowObserved;bicycle;False
55;105575465;2023-01-15;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301150000;TrafficFlowObserved;bicycle;False
97;105575465;2023-01-16;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301160000;TrafficFlowObserved;bicycle;False
106;105575465;2023-01-17;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301170000;TrafficFlowObserved;bicycle;False
102;105575465;2023-01-18;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301180000;TrafficFlowObserved;bicycle;False
152;105575465;2023-01-19;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301190000;TrafficFlowObserved;bicycle;False
104;105575465;2023-01-20;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301200000;TrafficFlowObserved;bicycle;False
77;105575465;2023-01-21;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301210000;TrafficFlowObserved;bicycle;False
55;105575465;2023-01-22;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301220000;TrafficFlowObserved;bicycle;False
103;105575465;2023-01-23;3.895629;43.626698;MMM_EcoCompt_X2H20063164_202301230000;TrafficFlowObserved;bicycle;False
