intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
14;755700690;2023-01-01;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301010000;TrafficFlowObserved;bicycle;False
15;755700690;2023-01-02;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301020000;TrafficFlowObserved;bicycle;False
30;755700690;2023-01-03;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301030000;TrafficFlowObserved;bicycle;False
58;755700690;2023-01-04;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301040000;TrafficFlowObserved;bicycle;False
64;755700690;2023-01-05;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301050000;TrafficFlowObserved;bicycle;False
47;755700690;2023-01-06;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301060000;TrafficFlowObserved;bicycle;False
15;755700690;2023-01-07;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301070000;TrafficFlowObserved;bicycle;False
19;755700690;2023-01-08;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301080000;TrafficFlowObserved;bicycle;False
43;755700690;2023-01-09;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301090000;TrafficFlowObserved;bicycle;False
75;755700690;2023-01-10;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301100000;TrafficFlowObserved;bicycle;False
47;755700690;2023-01-11;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301110000;TrafficFlowObserved;bicycle;False
61;755700690;2023-01-12;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301120000;TrafficFlowObserved;bicycle;False
44;755700690;2023-01-13;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301130000;TrafficFlowObserved;bicycle;False
17;755700690;2023-01-14;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301140000;TrafficFlowObserved;bicycle;False
31;755700690;2023-01-15;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301150000;TrafficFlowObserved;bicycle;False
49;755700690;2023-01-16;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301160000;TrafficFlowObserved;bicycle;False
33;755700690;2023-01-17;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301170000;TrafficFlowObserved;bicycle;False
39;755700690;2023-01-18;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301180000;TrafficFlowObserved;bicycle;False
45;755700690;2023-01-19;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301190000;TrafficFlowObserved;bicycle;False
38;755700690;2023-01-20;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301200000;TrafficFlowObserved;bicycle;False
16;755700690;2023-01-21;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301210000;TrafficFlowObserved;bicycle;False
23;755700690;2023-01-22;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301220000;TrafficFlowObserved;bicycle;False
45;755700690;2023-01-23;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301230000;TrafficFlowObserved;bicycle;False
50;755700690;2023-01-24;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301240000;TrafficFlowObserved;bicycle;False
45;755700690;2023-01-25;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301250000;TrafficFlowObserved;bicycle;False
41;755700690;2023-01-26;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301260000;TrafficFlowObserved;bicycle;False
37;755700690;2023-01-27;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301270000;TrafficFlowObserved;bicycle;False
13;755700690;2023-01-28;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301280000;TrafficFlowObserved;bicycle;False
19;755700690;2023-01-29;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301290000;TrafficFlowObserved;bicycle;False
42;755700690;2023-01-30;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301300000;TrafficFlowObserved;bicycle;False
47;755700690;2023-01-31;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202301310000;TrafficFlowObserved;bicycle;False
50;755700690;2023-02-01;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302010000;TrafficFlowObserved;bicycle;False
49;755700690;2023-02-02;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302020000;TrafficFlowObserved;bicycle;False
32;755700690;2023-02-03;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302030000;TrafficFlowObserved;bicycle;False
24;755700690;2023-02-04;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302040000;TrafficFlowObserved;bicycle;False
3;755700690;2023-02-05;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302050000;TrafficFlowObserved;bicycle;False
29;755700690;2023-02-05;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302050000;TrafficFlowObserved;bicycle;False
40;755700690;2023-02-06;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302060000;TrafficFlowObserved;bicycle;False
34;755700690;2023-02-07;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302070000;TrafficFlowObserved;bicycle;False
54;755700690;2023-02-08;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302080000;TrafficFlowObserved;bicycle;False
59;755700690;2023-02-09;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302090000;TrafficFlowObserved;bicycle;False
33;755700690;2023-02-10;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302100000;TrafficFlowObserved;bicycle;False
21;755700690;2023-02-11;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302110000;TrafficFlowObserved;bicycle;False
35;755700690;2023-02-12;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302120000;TrafficFlowObserved;bicycle;False
47;755700690;2023-02-13;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302130000;TrafficFlowObserved;bicycle;False
52;755700690;2023-02-14;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302140000;TrafficFlowObserved;bicycle;False
44;755700690;2023-02-15;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302150000;TrafficFlowObserved;bicycle;False
66;755700690;2023-02-16;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302160000;TrafficFlowObserved;bicycle;False
42;755700690;2023-02-17;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302170000;TrafficFlowObserved;bicycle;False
22;755700690;2023-02-18;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302180000;TrafficFlowObserved;bicycle;False
37;755700690;2023-02-19;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302190000;TrafficFlowObserved;bicycle;False
43;755700690;2023-02-20;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302200000;TrafficFlowObserved;bicycle;False
42;755700690;2023-02-21;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302210000;TrafficFlowObserved;bicycle;False
37;755700690;2023-02-22;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302220000;TrafficFlowObserved;bicycle;False
0;755700690;2023-02-23;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302230000;TrafficFlowObserved;bicycle;False
13;755700690;2023-02-24;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302240000;TrafficFlowObserved;bicycle;False
14;755700690;2023-02-25;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302250000;TrafficFlowObserved;bicycle;False
18;755700690;2023-02-26;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302260000;TrafficFlowObserved;bicycle;False
15;755700690;2023-02-27;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302270000;TrafficFlowObserved;bicycle;False
28;755700690;2023-02-28;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202302280000;TrafficFlowObserved;bicycle;False
37;755700690;2023-03-01;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303010000;TrafficFlowObserved;bicycle;False
34;755700690;2023-03-02;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303020000;TrafficFlowObserved;bicycle;False
28;755700690;2023-03-03;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303030000;TrafficFlowObserved;bicycle;False
26;755700690;2023-03-04;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303040000;TrafficFlowObserved;bicycle;False
30;755700690;2023-03-05;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303050000;TrafficFlowObserved;bicycle;False
74;755700690;2023-03-06;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303060000;TrafficFlowObserved;bicycle;False
50;755700690;2023-03-07;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303070000;TrafficFlowObserved;bicycle;False
50;755700690;2023-03-08;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303080000;TrafficFlowObserved;bicycle;False
62;755700690;2023-03-09;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303090000;TrafficFlowObserved;bicycle;False
38;755700690;2023-03-10;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303100000;TrafficFlowObserved;bicycle;False
14;755700690;2023-03-11;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303110000;TrafficFlowObserved;bicycle;False
58;755700690;2023-03-12;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303120000;TrafficFlowObserved;bicycle;False
70;755700690;2023-03-13;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303130000;TrafficFlowObserved;bicycle;False
55;755700690;2023-03-14;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303140000;TrafficFlowObserved;bicycle;False
74;755700690;2023-03-15;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303150000;TrafficFlowObserved;bicycle;False
56;755700690;2023-03-16;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303160000;TrafficFlowObserved;bicycle;False
49;755700690;2023-03-17;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303170000;TrafficFlowObserved;bicycle;False
21;755700690;2023-03-18;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303180000;TrafficFlowObserved;bicycle;False
39;755700690;2023-03-19;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303190000;TrafficFlowObserved;bicycle;False
95;755700690;2023-03-20;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303200000;TrafficFlowObserved;bicycle;False
76;755700690;2023-03-21;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303210000;TrafficFlowObserved;bicycle;False
83;755700690;2023-03-22;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303220000;TrafficFlowObserved;bicycle;False
57;755700690;2023-03-23;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303230000;TrafficFlowObserved;bicycle;False
46;755700690;2023-03-24;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303240000;TrafficFlowObserved;bicycle;False
34;755700690;2023-03-25;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303250000;TrafficFlowObserved;bicycle;False
39;755700690;2023-03-26;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303260000;TrafficFlowObserved;bicycle;False
57;755700690;2023-03-27;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303270000;TrafficFlowObserved;bicycle;False
84;755700690;2023-03-28;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303280000;TrafficFlowObserved;bicycle;False
83;755700690;2023-03-29;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303290000;TrafficFlowObserved;bicycle;False
64;755700690;2023-03-30;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303300000;TrafficFlowObserved;bicycle;False
49;755700690;2023-03-31;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202303310000;TrafficFlowObserved;bicycle;False
21;755700690;2023-04-01;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304010000;TrafficFlowObserved;bicycle;False
29;755700690;2023-04-02;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304020000;TrafficFlowObserved;bicycle;False
74;755700690;2023-04-03;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304030000;TrafficFlowObserved;bicycle;False
80;755700690;2023-04-04;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304040000;TrafficFlowObserved;bicycle;False
78;755700690;2023-04-05;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304050000;TrafficFlowObserved;bicycle;False
69;755700690;2023-04-06;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304060000;TrafficFlowObserved;bicycle;False
51;755700690;2023-04-07;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304070000;TrafficFlowObserved;bicycle;False
38;755700690;2023-04-08;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304080000;TrafficFlowObserved;bicycle;False
28;755700690;2023-04-09;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304090000;TrafficFlowObserved;bicycle;False
40;755700690;2023-04-10;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304100000;TrafficFlowObserved;bicycle;False
77;755700690;2023-04-11;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304110000;TrafficFlowObserved;bicycle;False
62;755700690;2023-04-12;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304120000;TrafficFlowObserved;bicycle;False
67;755700690;2023-04-13;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304130000;TrafficFlowObserved;bicycle;False
65;755700690;2023-04-14;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304140000;TrafficFlowObserved;bicycle;False
13;755700690;2023-04-15;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304150000;TrafficFlowObserved;bicycle;False
25;755700690;2023-04-16;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304160000;TrafficFlowObserved;bicycle;False
74;755700690;2023-04-17;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304170000;TrafficFlowObserved;bicycle;False
73;755700690;2023-04-18;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304180000;TrafficFlowObserved;bicycle;False
61;755700690;2023-04-19;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304190000;TrafficFlowObserved;bicycle;False
91;755700690;2023-04-20;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304200000;TrafficFlowObserved;bicycle;False
48;755700690;2023-04-21;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304210000;TrafficFlowObserved;bicycle;False
21;755700690;2023-04-22;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304220000;TrafficFlowObserved;bicycle;False
39;755700690;2023-04-23;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304230000;TrafficFlowObserved;bicycle;False
56;755700690;2023-04-24;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304240000;TrafficFlowObserved;bicycle;False
73;755700690;2023-04-25;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304250000;TrafficFlowObserved;bicycle;False
64;755700690;2023-04-26;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304260000;TrafficFlowObserved;bicycle;False
57;755700690;2023-04-27;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304270000;TrafficFlowObserved;bicycle;False
52;755700690;2023-04-28;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304280000;TrafficFlowObserved;bicycle;False
20;755700690;2023-04-29;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304290000;TrafficFlowObserved;bicycle;False
26;755700690;2023-04-30;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202304300000;TrafficFlowObserved;bicycle;False
45;755700690;2023-05-01;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305010000;TrafficFlowObserved;bicycle;False
52;755700690;2023-05-02;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305020000;TrafficFlowObserved;bicycle;False
62;755700690;2023-05-03;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305030000;TrafficFlowObserved;bicycle;False
63;755700690;2023-05-04;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305040000;TrafficFlowObserved;bicycle;False
50;755700690;2023-05-05;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305050000;TrafficFlowObserved;bicycle;False
30;755700690;2023-05-06;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305060000;TrafficFlowObserved;bicycle;False
36;755700690;2023-05-07;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305070000;TrafficFlowObserved;bicycle;False
26;755700690;2023-05-08;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305080000;TrafficFlowObserved;bicycle;False
70;755700690;2023-05-09;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305090000;TrafficFlowObserved;bicycle;False
56;755700690;2023-05-10;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305100000;TrafficFlowObserved;bicycle;False
87;755700690;2023-05-11;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305110000;TrafficFlowObserved;bicycle;False
42;755700690;2023-05-12;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305120000;TrafficFlowObserved;bicycle;False
19;755700690;2023-05-13;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305130000;TrafficFlowObserved;bicycle;False
33;755700690;2023-05-14;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305140000;TrafficFlowObserved;bicycle;False
92;755700690;2023-05-15;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305150000;TrafficFlowObserved;bicycle;False
80;755700690;2023-05-16;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305160000;TrafficFlowObserved;bicycle;False
63;755700690;2023-05-17;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305170000;TrafficFlowObserved;bicycle;False
31;755700690;2023-05-18;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305180000;TrafficFlowObserved;bicycle;False
34;755700690;2023-05-19;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305190000;TrafficFlowObserved;bicycle;False
18;755700690;2023-05-20;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305200000;TrafficFlowObserved;bicycle;False
11;755700690;2023-05-21;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305210000;TrafficFlowObserved;bicycle;False
61;755700690;2023-05-22;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305220000;TrafficFlowObserved;bicycle;False
73;755700690;2023-05-23;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305230000;TrafficFlowObserved;bicycle;False
58;755700690;2023-05-24;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305240000;TrafficFlowObserved;bicycle;False
58;755700690;2023-05-25;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305250000;TrafficFlowObserved;bicycle;False
74;755700690;2023-05-26;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305260000;TrafficFlowObserved;bicycle;False
25;755700690;2023-05-27;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305270000;TrafficFlowObserved;bicycle;False
37;755700690;2023-05-28;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305280000;TrafficFlowObserved;bicycle;False
32;755700690;2023-05-29;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305290000;TrafficFlowObserved;bicycle;False
78;755700690;2023-05-30;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305300000;TrafficFlowObserved;bicycle;False
65;755700690;2023-05-31;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202305310000;TrafficFlowObserved;bicycle;False
79;755700690;2023-06-01;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306010000;TrafficFlowObserved;bicycle;False
59;755700690;2023-06-02;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306020000;TrafficFlowObserved;bicycle;False
33;755700690;2023-06-03;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306030000;TrafficFlowObserved;bicycle;False
41;755700690;2023-06-04;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306040000;TrafficFlowObserved;bicycle;False
69;755700690;2023-06-05;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306050000;TrafficFlowObserved;bicycle;False
88;755700690;2023-06-06;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306060000;TrafficFlowObserved;bicycle;False
74;755700690;2023-06-07;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306070000;TrafficFlowObserved;bicycle;False
64;755700690;2023-06-08;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306080000;TrafficFlowObserved;bicycle;False
35;755700690;2023-06-09;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306090000;TrafficFlowObserved;bicycle;False
34;755700690;2023-06-10;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306100000;TrafficFlowObserved;bicycle;False
41;755700690;2023-06-11;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306110000;TrafficFlowObserved;bicycle;False
68;755700690;2023-06-12;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306120000;TrafficFlowObserved;bicycle;False
35;755700690;2023-06-13;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306130000;TrafficFlowObserved;bicycle;False
66;755700690;2023-06-14;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306140000;TrafficFlowObserved;bicycle;False
69;755700690;2023-06-15;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306150000;TrafficFlowObserved;bicycle;False
54;755700690;2023-06-16;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306160000;TrafficFlowObserved;bicycle;False
33;755700690;2023-06-17;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306170000;TrafficFlowObserved;bicycle;False
33;755700690;2023-06-18;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306180000;TrafficFlowObserved;bicycle;False
72;755700690;2023-06-19;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306190000;TrafficFlowObserved;bicycle;False
86;755700690;2023-06-20;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306200000;TrafficFlowObserved;bicycle;False
47;755700690;2023-06-21;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306210000;TrafficFlowObserved;bicycle;False
54;755700690;2023-06-22;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306220000;TrafficFlowObserved;bicycle;False
49;755700690;2023-06-23;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306230000;TrafficFlowObserved;bicycle;False
35;755700690;2023-06-24;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306240000;TrafficFlowObserved;bicycle;False
35;755700690;2023-06-25;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306250000;TrafficFlowObserved;bicycle;False
67;755700690;2023-06-26;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306260000;TrafficFlowObserved;bicycle;False
64;755700690;2023-06-27;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306270000;TrafficFlowObserved;bicycle;False
61;755700690;2023-06-28;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306280000;TrafficFlowObserved;bicycle;False
66;755700690;2023-06-29;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306290000;TrafficFlowObserved;bicycle;False
27;755700690;2023-06-30;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202306300000;TrafficFlowObserved;bicycle;False
28;755700690;2023-07-01;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307010000;TrafficFlowObserved;bicycle;False
23;755700690;2023-07-02;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307020000;TrafficFlowObserved;bicycle;False
60;755700690;2023-07-03;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307030000;TrafficFlowObserved;bicycle;False
70;755700690;2023-07-04;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307040000;TrafficFlowObserved;bicycle;False
51;755700690;2023-07-05;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307050000;TrafficFlowObserved;bicycle;False
75;755700690;2023-07-06;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307060000;TrafficFlowObserved;bicycle;False
45;755700690;2023-07-07;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307070000;TrafficFlowObserved;bicycle;False
29;755700690;2023-07-08;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307080000;TrafficFlowObserved;bicycle;False
24;755700690;2023-07-09;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307090000;TrafficFlowObserved;bicycle;False
58;755700690;2023-07-10;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307100000;TrafficFlowObserved;bicycle;False
61;755700690;2023-07-11;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307110000;TrafficFlowObserved;bicycle;False
56;755700690;2023-07-12;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307120000;TrafficFlowObserved;bicycle;False
56;755700690;2023-07-13;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307130000;TrafficFlowObserved;bicycle;False
31;755700690;2023-07-14;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307140000;TrafficFlowObserved;bicycle;False
17;755700690;2023-07-15;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307150000;TrafficFlowObserved;bicycle;False
34;755700690;2023-07-16;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307160000;TrafficFlowObserved;bicycle;False
54;755700690;2023-07-17;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307170000;TrafficFlowObserved;bicycle;False
53;755700690;2023-07-18;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307180000;TrafficFlowObserved;bicycle;False
42;755700690;2023-07-19;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307190000;TrafficFlowObserved;bicycle;False
53;755700690;2023-07-20;3.867914;43.671790;MMM_EcoCompt_X2H21070343_202307200000;TrafficFlowObserved;bicycle;False
