intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
46;563115296;2023-01-01;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301010000;TrafficFlowObserved;bicycle;False
92;563115296;2023-01-02;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301020000;TrafficFlowObserved;bicycle;False
127;563115296;2023-01-03;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301030000;TrafficFlowObserved;bicycle;False
144;563115296;2023-01-04;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301040000;TrafficFlowObserved;bicycle;False
164;563115296;2023-01-05;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301050000;TrafficFlowObserved;bicycle;False
170;563115296;2023-01-06;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301060000;TrafficFlowObserved;bicycle;False
55;563115296;2023-01-07;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301070000;TrafficFlowObserved;bicycle;False
51;563115296;2023-01-08;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301080000;TrafficFlowObserved;bicycle;False
182;563115296;2023-01-09;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301090000;TrafficFlowObserved;bicycle;False
188;563115296;2023-01-10;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301100000;TrafficFlowObserved;bicycle;False
161;563115296;2023-01-11;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301110000;TrafficFlowObserved;bicycle;False
171;563115296;2023-01-12;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301120000;TrafficFlowObserved;bicycle;False
166;563115296;2023-01-13;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301130000;TrafficFlowObserved;bicycle;False
61;563115296;2023-01-14;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301140000;TrafficFlowObserved;bicycle;False
34;563115296;2023-01-15;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301150000;TrafficFlowObserved;bicycle;False
151;563115296;2023-01-16;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301160000;TrafficFlowObserved;bicycle;False
149;563115296;2023-01-17;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301170000;TrafficFlowObserved;bicycle;False
104;563115296;2023-01-18;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301180000;TrafficFlowObserved;bicycle;False
162;563115296;2023-01-19;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301190000;TrafficFlowObserved;bicycle;False
121;563115296;2023-01-20;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301200000;TrafficFlowObserved;bicycle;False
37;563115296;2023-01-21;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301210000;TrafficFlowObserved;bicycle;False
30;563115296;2023-01-22;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301220000;TrafficFlowObserved;bicycle;False
128;563115296;2023-01-23;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301230000;TrafficFlowObserved;bicycle;False
142;563115296;2023-01-24;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301240000;TrafficFlowObserved;bicycle;False
115;563115296;2023-01-25;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301250000;TrafficFlowObserved;bicycle;False
122;563115296;2023-01-26;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301260000;TrafficFlowObserved;bicycle;False
106;563115296;2023-01-27;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301270000;TrafficFlowObserved;bicycle;False
39;563115296;2023-01-28;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301280000;TrafficFlowObserved;bicycle;False
31;563115296;2023-01-29;3.859721;43.585203;MMM_EcoCompt_X2H21070345_202301290000;TrafficFlowObserved;bicycle;False
