intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
151;477652564;2023-01-03;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301030000;TrafficFlowObserved;bicycle;False
173;477652564;2023-01-04;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301040000;TrafficFlowObserved;bicycle;False
3;477652564;2023-01-05;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301050000;TrafficFlowObserved;bicycle;False
179;477652564;2023-01-06;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301060000;TrafficFlowObserved;bicycle;False
48;477652564;2023-01-07;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301070000;TrafficFlowObserved;bicycle;False
72;477652564;2023-01-08;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301080000;TrafficFlowObserved;bicycle;False
194;477652564;2023-01-09;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301090000;TrafficFlowObserved;bicycle;False
217;477652564;2023-01-10;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301100000;TrafficFlowObserved;bicycle;False
185;477652564;2023-01-11;3.908900;43.623200;MMM_EcoCompt_X2H22104771_202301110000;TrafficFlowObserved;bicycle;False
193;477652564;2023-01-12;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301120000;TrafficFlowObserved;bicycle;False
186;477652564;2023-01-13;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301130000;TrafficFlowObserved;bicycle;False
64;477652564;2023-01-14;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301140000;TrafficFlowObserved;bicycle;False
51;477652564;2023-01-15;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301150000;TrafficFlowObserved;bicycle;False
205;477652564;2023-01-16;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301160000;TrafficFlowObserved;bicycle;False
234;477652564;2023-01-17;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301170000;TrafficFlowObserved;bicycle;False
200;477652564;2023-01-18;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301180000;TrafficFlowObserved;bicycle;False
204;477652564;2023-01-19;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301190000;TrafficFlowObserved;bicycle;False
147;477652564;2023-01-20;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301200000;TrafficFlowObserved;bicycle;False
38;477652564;2023-01-21;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301210000;TrafficFlowObserved;bicycle;False
31;477652564;2023-01-22;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301220000;TrafficFlowObserved;bicycle;False
231;477652564;2023-01-23;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301230000;TrafficFlowObserved;bicycle;False
303;477652564;2023-01-24;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301240000;TrafficFlowObserved;bicycle;False
251;477652564;2023-01-25;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301250000;TrafficFlowObserved;bicycle;False
294;477652564;2023-01-26;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301260000;TrafficFlowObserved;bicycle;False
247;477652564;2023-01-27;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301270000;TrafficFlowObserved;bicycle;False
76;477652564;2023-01-28;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301280000;TrafficFlowObserved;bicycle;False
76;477652564;2023-01-29;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301290000;TrafficFlowObserved;bicycle;False
266;477652564;2023-01-30;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301300000;TrafficFlowObserved;bicycle;False
336;477652564;2023-01-31;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202301310000;TrafficFlowObserved;bicycle;False
302;477652564;2023-02-01;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202302010000;TrafficFlowObserved;bicycle;False
294;477652564;2023-02-02;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202302020000;TrafficFlowObserved;bicycle;False
217;477652564;2023-02-03;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202302030000;TrafficFlowObserved;bicycle;False
73;477652564;2023-02-04;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202302040000;TrafficFlowObserved;bicycle;False
3;477652564;2023-02-05;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202302050000;TrafficFlowObserved;bicycle;False
64;477652564;2023-02-05;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202302050000;TrafficFlowObserved;bicycle;False
204;477652564;2023-02-06;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202302060000;TrafficFlowObserved;bicycle;False
169;477652564;2023-02-07;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202302070000;TrafficFlowObserved;bicycle;False
191;477652564;2023-02-08;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202302080000;TrafficFlowObserved;bicycle;False
184;477652564;2023-02-09;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202302090000;TrafficFlowObserved;bicycle;False
170;477652564;2023-02-10;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202302100000;TrafficFlowObserved;bicycle;False
67;477652564;2023-02-11;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202302110000;TrafficFlowObserved;bicycle;False
40;477652564;2023-02-12;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202302120000;TrafficFlowObserved;bicycle;False
174;477652564;2023-02-13;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202302130000;TrafficFlowObserved;bicycle;False
216;477652564;2023-02-14;3.908900;43.623300;MMM_EcoCompt_X2H22104771_202302140000;TrafficFlowObserved;bicycle;False
