intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
1612;643789819;2023-01-03;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301030000;TrafficFlowObserved;bicycle;False
2077;643789819;2023-01-04;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301040000;TrafficFlowObserved;bicycle;False
12;643789819;2023-01-05;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301050000;TrafficFlowObserved;bicycle;False
1964;643789819;2023-01-06;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301060000;TrafficFlowObserved;bicycle;False
1045;643789819;2023-01-07;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301070000;TrafficFlowObserved;bicycle;False
1026;643789819;2023-01-08;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301080000;TrafficFlowObserved;bicycle;False
2083;643789819;2023-01-09;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301090000;TrafficFlowObserved;bicycle;False
2417;643789819;2023-01-10;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301100000;TrafficFlowObserved;bicycle;False
2070;643789819;2023-01-11;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301110000;TrafficFlowObserved;bicycle;False
2331;643789819;2023-01-12;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301120000;TrafficFlowObserved;bicycle;False
1974;643789819;2023-01-13;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301130000;TrafficFlowObserved;bicycle;False
1309;643789819;2023-01-14;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301140000;TrafficFlowObserved;bicycle;False
944;643789819;2023-01-15;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301150000;TrafficFlowObserved;bicycle;False
1957;643789819;2023-01-16;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301160000;TrafficFlowObserved;bicycle;False
2074;643789819;2023-01-17;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301170000;TrafficFlowObserved;bicycle;False
2040;643789819;2023-01-18;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301180000;TrafficFlowObserved;bicycle;False
2637;643789819;2023-01-19;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301190000;TrafficFlowObserved;bicycle;False
26;643789819;2023-01-20;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301200000;TrafficFlowObserved;bicycle;False
794;643789819;2023-01-21;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301210000;TrafficFlowObserved;bicycle;False
684;643789819;2023-01-22;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301220000;TrafficFlowObserved;bicycle;False
2238;643789819;2023-01-23;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301230000;TrafficFlowObserved;bicycle;False
2333;643789819;2023-01-24;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301240000;TrafficFlowObserved;bicycle;False
2040;643789819;2023-01-25;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301250000;TrafficFlowObserved;bicycle;False
2318;643789819;2023-01-26;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301260000;TrafficFlowObserved;bicycle;False
1997;643789819;2023-01-27;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301270000;TrafficFlowObserved;bicycle;False
867;643789819;2023-01-28;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301280000;TrafficFlowObserved;bicycle;False
805;643789819;2023-01-29;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301290000;TrafficFlowObserved;bicycle;False
1908;643789819;2023-01-30;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301300000;TrafficFlowObserved;bicycle;False
2478;643789819;2023-01-31;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202301310000;TrafficFlowObserved;bicycle;False
2087;643789819;2023-02-01;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202302010000;TrafficFlowObserved;bicycle;False
2304;643789819;2023-02-02;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202302020000;TrafficFlowObserved;bicycle;False
2017;643789819;2023-02-03;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202302030000;TrafficFlowObserved;bicycle;False
1243;643789819;2023-02-04;3.884700;43.614000;MMM_EcoCompt_X2H22104777_202302040000;TrafficFlowObserved;bicycle;False
