intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
11;31450087;2023-02-23;3.887153;43.539352;MMM_EcoCompt_X2H21070350_202302230000;TrafficFlowObserved;bicycle;False
248;31450087;2023-02-24;3.887153;43.539352;MMM_EcoCompt_X2H21070350_202302240000;TrafficFlowObserved;bicycle;False
155;31450087;2023-03-02;3.887153;43.539352;MMM_EcoCompt_X2H21070350_202303020000;TrafficFlowObserved;bicycle;False
256;31450087;2023-03-03;3.887153;43.539352;MMM_EcoCompt_X2H21070350_202303030000;TrafficFlowObserved;bicycle;False
329;31450087;2023-03-04;3.887153;43.539352;MMM_EcoCompt_X2H21070350_202303040000;TrafficFlowObserved;bicycle;False
496;31450087;2023-03-05;3.887153;43.539352;MMM_EcoCompt_X2H21070350_202303050000;TrafficFlowObserved;bicycle;False
226;31450087;2023-03-06;3.887153;43.539352;MMM_EcoCompt_X2H21070350_202303060000;TrafficFlowObserved;bicycle;False
142;31450087;2023-03-07;3.887153;43.539352;MMM_EcoCompt_X2H21070350_202303070000;TrafficFlowObserved;bicycle;False
141;31450087;2023-03-08;3.887153;43.539352;MMM_EcoCompt_X2H21070350_202303080000;TrafficFlowObserved;bicycle;False
269;31450087;2023-03-09;3.887153;43.539352;MMM_EcoCompt_X2H21070350_202303090000;TrafficFlowObserved;bicycle;False
2;31450087;2023-03-10;3.887153;43.539352;MMM_EcoCompt_X2H21070350_202303100000;TrafficFlowObserved;bicycle;False
107;31450087;2023-03-11;3.887153;43.539352;MMM_EcoCompt_X2H21070350_202303110000;TrafficFlowObserved;bicycle;False
499;31450087;2023-03-12;3.887153;43.539352;MMM_EcoCompt_X2H21070350_202303120000;TrafficFlowObserved;bicycle;False
194;31450087;2023-03-13;3.887153;43.539352;MMM_EcoCompt_X2H21070350_202303130000;TrafficFlowObserved;bicycle;False
110;31450087;2023-03-14;3.887153;43.539352;MMM_EcoCompt_X2H21070350_202303140000;TrafficFlowObserved;bicycle;False
294;31450087;2023-03-15;3.887153;43.539352;MMM_EcoCompt_X2H21070350_202303150000;TrafficFlowObserved;bicycle;False
277;31450087;2023-03-16;3.887153;43.539352;MMM_EcoCompt_X2H21070350_202303160000;TrafficFlowObserved;bicycle;False
168;31450087;2023-03-17;3.887153;43.539352;MMM_EcoCompt_X2H21070350_202303170000;TrafficFlowObserved;bicycle;False
