intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
102;135001721;2023-01-01;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301010000;TrafficFlowObserved;bicycle;False
278;135001721;2023-01-02;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301020000;TrafficFlowObserved;bicycle;False
411;135001721;2023-01-03;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301030000;TrafficFlowObserved;bicycle;False
504;135001721;2023-01-04;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301040000;TrafficFlowObserved;bicycle;False
572;135001721;2023-01-05;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301050000;TrafficFlowObserved;bicycle;False
536;135001721;2023-01-06;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301060000;TrafficFlowObserved;bicycle;False
248;135001721;2023-01-07;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301070000;TrafficFlowObserved;bicycle;False
202;135001721;2023-01-08;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301080000;TrafficFlowObserved;bicycle;False
568;135001721;2023-01-09;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301090000;TrafficFlowObserved;bicycle;False
629;135001721;2023-01-10;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301100000;TrafficFlowObserved;bicycle;False
547;135001721;2023-01-11;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301110000;TrafficFlowObserved;bicycle;False
605;135001721;2023-01-12;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301120000;TrafficFlowObserved;bicycle;False
571;135001721;2023-01-13;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301130000;TrafficFlowObserved;bicycle;False
252;135001721;2023-01-14;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301140000;TrafficFlowObserved;bicycle;False
202;135001721;2023-01-15;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301150000;TrafficFlowObserved;bicycle;False
509;135001721;2023-01-16;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301160000;TrafficFlowObserved;bicycle;False
553;135001721;2023-01-17;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301170000;TrafficFlowObserved;bicycle;False
546;135001721;2023-01-18;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301180000;TrafficFlowObserved;bicycle;False
711;135001721;2023-01-19;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301190000;TrafficFlowObserved;bicycle;False
482;135001721;2023-01-20;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301200000;TrafficFlowObserved;bicycle;False
228;135001721;2023-01-21;3.853390;43.623870;MMM_EcoCompt_X2H21070342_202301210000;TrafficFlowObserved;bicycle;False
