intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
910;399988317;2023-01-01;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301010000;TrafficFlowObserved;bicycle;False
757;399988317;2023-01-02;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301020000;TrafficFlowObserved;bicycle;False
1034;399988317;2023-01-03;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301030000;TrafficFlowObserved;bicycle;False
1917;399988317;2023-01-04;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301040000;TrafficFlowObserved;bicycle;False
9;399988317;2023-01-05;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301050000;TrafficFlowObserved;bicycle;False
1737;399988317;2023-01-06;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301060000;TrafficFlowObserved;bicycle;False
1278;399988317;2023-01-07;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301070000;TrafficFlowObserved;bicycle;False
1740;399988317;2023-01-08;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301080000;TrafficFlowObserved;bicycle;False
1413;399988317;2023-01-09;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301090000;TrafficFlowObserved;bicycle;False
1798;399988317;2023-01-10;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301100000;TrafficFlowObserved;bicycle;False
1552;399988317;2023-01-11;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301110000;TrafficFlowObserved;bicycle;False
1817;399988317;2023-01-12;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301120000;TrafficFlowObserved;bicycle;False
1493;399988317;2023-01-13;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301130000;TrafficFlowObserved;bicycle;False
1732;399988317;2023-01-14;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301140000;TrafficFlowObserved;bicycle;False
1601;399988317;2023-01-15;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301150000;TrafficFlowObserved;bicycle;False
1333;399988317;2023-01-16;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301160000;TrafficFlowObserved;bicycle;False
1322;399988317;2023-01-17;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301170000;TrafficFlowObserved;bicycle;False
1257;399988317;2023-01-18;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301180000;TrafficFlowObserved;bicycle;False
1740;399988317;2023-01-19;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301190000;TrafficFlowObserved;bicycle;False
9;399988317;2023-01-20;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301200000;TrafficFlowObserved;bicycle;False
994;399988317;2023-01-21;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301210000;TrafficFlowObserved;bicycle;False
992;399988317;2023-01-22;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301220000;TrafficFlowObserved;bicycle;False
1603;399988317;2023-01-23;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301230000;TrafficFlowObserved;bicycle;False
1606;399988317;2023-01-24;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301240000;TrafficFlowObserved;bicycle;False
1420;399988317;2023-01-25;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301250000;TrafficFlowObserved;bicycle;False
1698;399988317;2023-01-26;3.898670;43.598880;MMM_EcoCompt_X2H22043033_202301260000;TrafficFlowObserved;bicycle;False
