"intensity","laneId","dateObserved","location__coordinates","location__type","id","type","vehicleType","reversedLane"
"124","930381158","2024-11-13T00:00:00/2024-11-14T00:00:00","3.900942","Point","MMM_EcoCompt_XTH24072390_202411130000","TrafficFlowObserved","bicycle","False"
"","","","43.660053","","","","",""
