"intensity","laneId","dateObserved","location__coordinates","location__type","id","type","vehicleType","reversedLane"
"53","37618918","2024-11-13T00:00:00/2024-11-14T00:00:00","3.8610253666666665","Point","MMM_EcoCompt_ED223110501_202411130000","TrafficFlowObserved","bicycle","False"
"","","","43.58428456666667","","","","",""
