"intensity","laneId","dateObserved","location__coordinates","location__type","id","type","vehicleType","reversedLane"
"82","60703759","2024-11-13T00:00:00/2024-11-14T00:00:00","3.9295381","Point","MMM_EcoCompt_X2H22043031_202411130000","TrafficFlowObserved","bicycle","False"
"","","","43.6376009","","","","",""
