Departure station,Departure,Return station,Return,Duration (sec.),Covered distance (m),departure_latitude,departure_longitude,return_latitude,return_longitude
Odysseum,2023-12-15 21:24:01,Odysseum,2023-12-15 21:24:22,16,0.0,43.60441055,3.9212018171142855,43.60441055,3.9212018171142855
Odysseum,2023-12-15 21:23:53,Nombre d'Or,2023-12-15 21:54:07,1809,3759.0,43.60441055,3.9212018171142855,43.6079002,3.8866534
Boutonnet,2023-12-15 21:19:18,Comedie Baudin,2023-12-16 00:25:14,10377,7418.0,43.6198269,3.8681402,,
Boutonnet,2023-12-15 21:13:29,Louis Blanc,2023-12-15 21:20:26,412,1335.0,43.6198269,3.8681402,43.6146919,3.8782052427712976
Boutonnet,2023-12-15 21:12:01,Louis Blanc,2023-12-15 21:20:22,496,1317.0,43.6198269,3.8681402,43.6146919,3.8782052427712976
Pont de Lattes - Gare St-Roch,2023-12-15 21:06:33,Place Viala,2023-12-15 21:22:04,926,3161.0,43.60431,3.88106,43.6168167,3.8550842
Fac des Sciences,2023-12-15 20:58:38,Aiguelongue,2023-12-15 21:04:38,355,1121.0,43.6312537,3.8612405,43.6331438,3.8795261
Place Viala,2023-12-15 20:52:08,Occitanie,2023-12-15 21:04:06,714,2838.0,43.6168167,3.8550842,43.6343466,3.8486780499999984
Fac des Sciences,2023-12-15 20:51:54,Gambetta,2023-12-15 21:04:32,751,2460.0,43.6312537,3.8612405,43.6040006,3.8713632
Voltaire,2023-12-15 20:51:48,Voltaire,2023-12-15 23:42:51,10259,7104.0,43.6037049,3.8892253,43.6037049,3.8892253
Boutonnet,2023-12-15 20:50:59,Hôtel de Ville,2023-12-15 21:07:05,961,4414.0,43.6198269,3.8681402,43.5985194,3.896631891721937
Voltaire,2023-12-15 20:49:11,Voltaire,2023-12-15 20:50:04,49,2.0,43.6037049,3.8892253,43.6037049,3.8892253
Observatoire,2023-12-15 20:48:32,Richter,2023-12-15 20:56:33,478,1978.0,43.61452665,3.871080728556718,43.6037969,3.8989223
Richter,2023-12-15 20:37:44,Pont de Lattes - Gare St-Roch,2023-12-15 20:51:12,804,1858.0,43.6037969,3.8989223,43.60431,3.88106
Vert Bois,2023-12-15 20:33:48,Aiguelongue,2023-12-15 20:42:31,518,1560.0,,,43.6331438,3.8795261
